Basho,Overall,Ajigawa-205,Arashio-303,Asahiyama-204,Asakayama-203,Dewanoumi-28,Fujishima-3,Futagoyama-4,Hakkaku-402,Hanaregoma-110,Ikazuchi-5,Isegahama-200,Isenoumi-305,Kasugano-2,Kataonami-109,Kise-6,Kokonoe-403,Michinoku-302,Minato-111,Miyagino-210,Musashigawa-9,Naruto-113,Nishiiwa-114,Nishikido-405,Nishonoseki-100,Oitekaze-307,Onoe-10,Onomatsu-116,Oshima-201,Oshiogawa-117,Otake-115,Sadogatake-112,Sakaigawa-11,Shibatayama-108,Shikihide-12,Shikoroyama-119,Tagonoura-101,Takadagawa-120,Takasago-400,Takekuma-13,Tamanoi-14,Tatsunami-1,Tokitsukaze-300,Tokiwayama-107,Yamahibiki-8,Araiso-121,Asahiyama-208,Azumazeki-407,Futagoyama-102,Futagoyama-517,Hanakago-531,Hanakago-103,Hanakago-122,Hanaregoma-106,Hatachiyama-16,Isegahama-206,Izutsu-301,Kabutoyama-310,Kagamiyama-312,Kasugayama-537,Kasugayama-224,Kasugayama-231,Kiriyama-207,Kise-223,Kokonoe-404,Kumagatani-209,Kumagatani-213,Magaki-220,Magaki-124,Michinoku-320,Mihogaseki-7,Minatogawa-535,Minatogawa-126,Minezaki-123,Miyagino-533,Nakagawa-217,Nakagawa-309,Nakamura-128,Nakamura-406,Nishikijima-306,Nishonoseki-105,Oguruma-118,Oitekaze-221,Onaruto-218,Onaruto-215,Onogawa-19,Onogawa-20,Oshima-214,Oshiogawa-125,Oyama-411,Sadogatake-414,Sanoyama-410,Tagonoura-15,Takanohana-104,Takasago-401,Takashima-216,Takashima-212,Takekuma-229,Takekuma-211,Tamanoi-525,Tanigawa-219,Tatsutagawa-311,Tomozuna-501,Urakaze-230,Wakafuji-228,Yamawake-26
1994-09,941-66,,,,,38-4,30-3,,12-0,21-0,9-0,16-2,21-1,29-2,16-1,,40-1,6-1,11-1,15-1,,,,,,,,,10-1,,12-1,44-7,,,14-0,,30-1,26-3,24-2,,31-1,19-4,33-2,,23-1,2-0,8-0,19-1,,,,,13-0,24-0,5-0,6-0,28-2,6-0,6-1,,,,,10-0,,,5-0,,33-0,,21-2,,,9-0,,,,,29-0,,9-1,22-0,,,3-0,,,22-4,23-2,,,,,54-10,37-2,,4-0,,,,,13-1,,,,
1994-11,910-66,,,,,36-4,30-3,,12-0,21-0,11-0,17-2,21-2,29-2,15-1,,35-1,3-1,12-1,15-1,,,,,,,,1-0-Onomatsu-S Masurao,10-2,,12-1,43-7,,,14-0,,30-1,25-2,22-2,,32-0,19-4,30-2,,20-1,2-0,7-0,18-1,,,,,12-0,23-0,5-0,6-0,27-3,6-0,5-1,,,,,10-0,,,5-0,,32-0,,20-2,,,9-0,,,,,28-0,,9-1,20-0,,,1-0,,,22-3,22-2,,,,,52-10,37-2,,4-0,,,,,13-1,,,,
1995-01,907-66,,,,,37-4,31-4,,14-0,22-0,11-0,16-2,21-2,30-2,15-1,,35-1,3-1,12-1,15-1,,,,,,,,1-0,10-2,,11-1,43-6,,,14-0,,31-1,25-2,23-2,,32-1,19-3,29-2,,21-1,2-0,7-0,17-1,,,,,12-0,22-0,6-0,5-0,26-3,6-0,5-1,,,,3-0-Kiriyama-K Kurosegawa,9-0,,,5-0,,29-0,,20-2,,,10-0,,,,,27-0,,8-1,20-0,,,,,,23-3,22-2,,,,,50-10,35-2,,4-0,,,,,13-1,,,,
1995-03,961-66,,,,,36-4,34-3,,16-0,22-0,12-0,18-2,22-2,29-2,17-1,,39-1,3-1,11-1,17-0,,,,,,,,4-0,12-1,,12-1,44-6,,,16-0,,31-1,24-2,19-2,,32-1,20-3,28-2,,26-1,2-0,7-1,15-1,,,,,13-0,24-0,7-0,5-0,29-3,6-0,9-0,,,,5-0,10-0,,,5-0,,31-1,,22-2,,,10-0,,,,,26-0,,13-1,23-0,,,,,,25-4,26-2,,,,,52-11,34-2,,4-0,,,,,14-1,,,,
1995-05,949-66,,,,,36-4,32-3,,16-0,22-0,14-0,18-2,23-2,25-1,17-1,,40-1,3-1,11-1,16-1,,,,,,,,5-0,12-1,,11-1,43-7,,,16-0,,31-1,24-2,19-2,,33-1,21-3,27-2,,26-1,2-0,7-1,15-1,,,,,14-0,24-0,7-0,5-0,29-3,6-0,9-0,,,,5-0,10-0,,,5-0,,29-0,,21-2,,,10-0,,,,,25-0,,13-1,21-0,,,,,,25-4,26-2,,,,,49-11,35-2,,2-0,,,,,14-1,,,,
1995-07,920-66,,,,,37-4,31-3,,16-0,21-0,15-0,17-1,21-2,25-1,17-1,,37-1,3-0,11-1,14-1,,,,,,,,6-0,12-1,,11-0,42-7,,,16-0,,30-1,22-2,19-2,,33-1,20-3,24-2,,25-2,2-0,7-1,14-1,,,,,14-0,20-0,7-0,5-0,27-2,6-0,8-0,,,,5-0,10-0,,,5-0,,28-2,,21-2,,,10-0,,,,,24-0,,13-1,20-0,,,,,,25-5,25-2,,,,,48-11,35-2,,2-0,,,,,14-1,,,,
1995-09,918-66,,,,,37-4,31-2,,16-0,21-0,14-0,16-1,21-2,26-1,17-1,,36-1,3-0,12-1,15-1,,,,,,,,6-0,12-1,,11-0,43-7,,,16-0,,29-1,22-2,19-2,,33-1,19-3,23-2,,25-2,2-0,9-1,14-2,,,,,13-0,20-0,8-0,5-0,28-2,6-0,8-0,,,,5-0,9-0,,,5-0,,27-2,,21-2,,,10-0,,,,,24-0,,13-1,20-0,,,,,,25-5,25-2,,,,,47-11,35-2,,2-0,,,,,14-1,,,,
1995-11,893-66,,,,,36-4,30-4,,17-0,21-0,14-0,16-1,20-2,26-1,17-1,,35-1,3-0,12-1,14-1,,,,,,,,6-0,12-1,,10-1,40-6,,,16-0,,29-1,21-2,18-2,,33-0,19-2,21-2,,23-2,2-0,9-1,13-2,,,,,10-0,20-0,8-0,5-0,28-2,6-0,8-0,,,,5-0,8-0,,,5-0,,26-3,,21-2,,,10-0,,,,,21-1,,13-1,20-0,,,,,,24-4,25-1,,,,,45-10,36-3,,2-0,,,,,14-1,,,,
1996-01,883-66,,,,,35-4,30-4,,18-0,20-0,15-1,18-1,20-2,27-1,17-1,,36-1,3-0,11-1,14-1,,,,,,,,6-0,12-1,,9-0,38-7,,,16-0,,28-1,21-2,18-2,,32-0,19-2,20-2,,23-2,2-0,9-1,13-2,,,,,9-0,19-0,8-0,5-0,27-2,6-0,7-0,,,,5-0,8-0,,,5-0,,27-3,,22-2,,,10-0,,,,,21-0,,13-1,20-0,,,,,,24-4,25-1,,,,,42-10,34-3,,2-0,,,,,14-1,,,,
1996-03,963-66,,,,,38-4-S Washuyama,34-4,,22-0,21-0,18-0,19-1,22-2,30-1,18-1,,34-1,3-0,14-1,13-1,,,,,,,,7-0,13-1,,12-0,46-7,,,19-0,,30-1,22-2,22-2,,34-0,20-2,23-2,,26-2,3-0,8-1,13-2,,,,,9-0,19-0,12-0,5-0,28-2,6-0,9-0,,,,7-0,9-0,,,4-0,,30-3,,21-2,,,10-0,,,,,26-1,,15-1,21-0,,,,,,26-5,26-1,,,,,45-9,34-3,,2-0,,,,,15-1,,,,
1996-05,955-66,,,,,38-4,33-3,,22-0,20-0,18-0,19-1,22-2,29-1,18-1,,36-2,3-0,14-1,12-1,,,,,,,,7-0,13-1,,11-0,47-7,,,19-0,,27-1,23-3,22-2,,34-1,20-2,23-2,,26-2,3-0,8-1,14-1,,,,,9-0,18-0,12-0,5-0,27-1,6-0,9-0,,,,7-0,9-0,,,4-0,,30-3,,20-2,,,10-0,,,,,26-1,,14-1,21-0,,,,,,26-5,26-1,,,,,45-9,32-3,,3-0,,,,,15-1,,,,
1996-07,927-66,,,,,38-5,32-3,,20-0,21-0,18-0,18-1,22-2,26-1,18-1,,34-1,3-0,13-1,11-1,,,,,,,,9-0,13-1,,10-1,44-7,,,18-0,,27-1,21-2,23-2,,34-1,22-2,23-2,,24-2,3-0,8-1,13-1,,,,,8-0,19-0,12-0,5-0,27-1,5-0,8-0,,,,7-0,9-0,,,,,30-3,,20-2,,,9-0,,,,,26-1,,14-1,20-0,,,,,,25-5,25-1,,,,,44-9,30-3,,3-0,,,,,15-1,,,,
1996-09,905-66,,,,,38-5,30-3,,19-0,20-0,16-0,18-1,23-2,27-2,18-1,,33-2,3-0,12-1,11-1,,,,,,,,9-0,13-1,,10-0,40-6,,,18-0,,27-1,19-2,22-2,,33-1,22-2,23-2,,24-2,3-0,8-1,13-1,,,,,6-0,19-0,11-0,5-0,25-1,5-0,8-0,,,,7-0,8-0,,,,,30-3,,20-2,,,9-0,,,,,26-1,,14-1,20-0,,,,,,25-5,25-1,,,,,42-9,30-3,,3-0,,,,,15-1,,,,
1996-11,879-66,,,,,34-5,30-4,,19-0,21-0,15-1,18-0,23-2,27-2,18-1,,33-2,2-0,12-1,11-1,,,,,,,,9-0,11-1,,9-0,38-6,,,18-0,,27-1,19-2,21-2,,33-1,22-2,23-2,,22-2,3-0,7-1,13-1,,,,,6-0,18-0,11-0,4-0,24-1,5-0,7-0,,,,7-0,8-0,,,,,30-3,,20-2,,,9-0,,,,,26-1,,14-1,19-0,,,,,,21-4,23-1,,,,,43-9,28-3,,3-0,,,,,15-1,,,,
1997-01,875-66,,,,,36-5,30-3,,20-0,22-0,14-1,20-0,22-2,27-3,18-1,,33-3,2-0,12-1,10-0,,,,,,,,10-0,11-1,,9-0,35-6,,,18-0,,26-1,19-2,21-2,,34-1,21-3,23-2,,21-1,3-0,7-1,11-1,,,,,6-0,19-0,12-0,4-0,23-2,5-0,7-0-S Tagaryu,,,,7-0,8-0,,,,,30-3,,20-2,,,9-0,,,,,26-1,,14-1,19-0,,,,,,20-3,23-1,,,,,42-9,28-3,,3-0,,,,,15-1,,,,
1997-03,946-66,,,,,36-5,33-4,,22-0,21-0,14-1,27-0,23-2,33-3,20-1,,35-2,2-0,13-1,10-1,,,,,,,,13-0,11-1,,11-0,44-6,,,18-0,,27-1,20-2,24-2,,35-1,21-3,24-2,,23-1,3-0,7-1,11-1,,,,,7-0,21-0,13-0,4-0,25-2,5-0,8-0,,,,9-0,8-0,,,,,31-3,,21-2,,,9-0,,,,,29-1,,14-1,19-0,,,,,,21-3,25-1,,,,,46-8,29-3,,5-0,,,,,16-1,,,,
1997-05,938-66,,,,,38-5,33-3,,22-1,18-0,14-1,27-0,23-3,33-2,21-1,,34-2,2-0,11-1,10-1,,,,,,,,13-0,11-1,,11-0,43-6,,,18-0,,26-1,19-2,24-2,,35-1,21-3,24-3,,23-1,3-0,7-1,12-1,,,,,8-0,21-0,12-0,5-0,25-2,5-0,8-0,,,,10-0,7-0,,,,,31-3,,20-2,,,9-0,,,,,28-0,,15-1,20-0,,,,,,20-3,25-1,,,,,44-8,29-3,,4-0,,,,,16-1,,,,
1997-07,914-66,,,,,37-5,32-3,,21-1,17-0,14-1,28-0,23-3,33-2,20-1,,33-1,3-0,11-1,10-1,,,,,,,,14-0,11-1,,9-0,42-5,,,18-0,,25-1,19-2,22-2,,35-1,19-3,24-3,,23-1,4-0,7-1-O Daiju,11-1,,,,,8-0,21-0,12-0,5-0,24-2,5-0,8-0,,,,10-0,7-0,,,,,30-3,,20-2,,,8-0,,,,,24-1,,15-1,19-0,,,,,,20-4,24-1,,,,,44-8,26-3,,3-0,,,,,16-1,,,,
1997-09,898-66,,,,,38-5,31-3,,20-1,16-0,14-1,26-0,23-3,32-2,20-1,,33-2,3-0,10-1,10-0,,,,,,,,14-0,11-1,,8-0,40-5,,,17-0,,26-1,18-2,22-2,,35-1,19-3,24-3,,24-3,4-0,7-1,11-1,,,,,8-0,21-0,11-0,5-0,23-2,4-0,7-0,,,1-0-Kasugayama-M1 Kasugafuji,11-0,7-0,,,,,29-3,,20-2,,,8-0,,,,,23-1,,15-1,18-0,,,,,,20-4,24-1,,,,,43-7,25-2,,3-0,,,,,16-1,,,,
1997-11,867-66,,,,,34-5,31-3,,19-1,16-0,13-1,26-0,23-2,31-2,20-1,,29-3,3-0,10-1,10-0,,,,,,,,15-0,12-1,,6-0,38-4,,,15-0,,25-1,18-2,21-2,,33-1,19-3,24-3,,24-3,4-0,7-1,11-1,,,,,8-0,17-0,11-0,5-0,23-2,4-0,6-0,,,2-0,10-0,7-0,,,,,28-3,,20-2,,,8-0,,,,,23-1,,15-1,18-0,,,,,,19-4,24-1,,,,,42-7,22-3,,3-0,,,,,15-1,,,,
1998-01,856-66,,,,,33-6,32-3,,19-2,16-0,14-1,27-0,23-2,30-2,18-1,,29-3,3-0-O Kirishima,10-1,10-1,,,,,,,,14-0,12-1,,6-0,35-4,,,15-0,,24-1,16-1,21-2,,31-1,19-2,24-3,,24-3,4-0,7-1,11-1,,,,,8-0,20-0,11-0,5-0,23-2,4-0,6-0,,,2-0,10-0,6-0,,,,,27-3,,20-2,,,8-0,,,,,23-0,,15-1,17-0,,,,,,19-4,25-1,,,,,40-7,21-2,,4-0,,,,,15-2,,,,
1998-03,880-66,,,,,34-6,33-3,,19-2,16-0,15-0,29-0,23-3,32-3,21-1,,26-2,8-0,11-1,10-1,,,,,,,,18-0,15-1,,7-0,37-4,,,18-0,,24-1,15-1,16-2,,30-1,19-3,25-3,,24-3,4-0,9-1,10-1,,,,,9-0,21-0,11-0,5-0,21-2,4-0,7-0,,,4-0,10-0,6-0,,,,,25-3,,20-3,,,9-0,,,,,22-0,,15-1,18-0,,,,,,15-3,28-1,,,,,43-7,21-2,,4-0,,,,,14-1,,,,
1998-05,867-66,,,,,35-7,33-3,,18-2,16-0,15-2,27-0,22-3,32-2,21-1,,25-2,10-0,11-1,10-1,,,,,,,,19-0,15-1,,7-0,36-4,,,17-0,,25-1,12-1,15-2,,30-1,19-3,24-3,,23-2,4-0,9-0,10-1,,,,,9-0,21-0,11-0,5-0,22-2,4-0,5-0,,,4-0,8-0,6-0,,,,,25-3,,20-3,,,9-0,,,,,22-0,,15-1,17-0,,,,,,15-3,27-1,,,,,43-7,21-2,,4-0,,,,,14-1,,,,
1998-07,841-66,,,,,32-7,32-3,,17-2,16-0,15-2,25-0,22-3,32-3,21-1,,24-2,11-0,10-1,9-1,,,,,,,,19-0,14-1,,6-0,33-4,2-0-Nakadachi-K Ryogoku,,16-0,,24-1,12-1,15-2,,30-1,18-3,24-3,,21-3,4-0,9-0,10-1,,,,,9-0,19-0,10-0,5-0,21-2,4-0,4-0,,,4-0,7-0,6-0,,,,,25-2,,19-2,,,9-0,,,,,22-0,,15-1,16-0,,,,,,15-3,27-1,,,,,43-7,20-2,,4-0,,,,,14-1,,,,
1998-09,833-66,,,,,30-6,31-3,,18-1,16-0,14-2,26-0,22-3,32-3,21-1,,24-2,12-1,9-1,9-1,,,,,,,,19-0,14-1,,6-0,31-4,2-0,,16-0,,24-1,12-1,14-2,,30-1,19-3,23-3,,21-3,4-0,9-0,10-1,,,,,9-0,19-0,10-0,5-0,20-2,4-0,4-0,,,5-0,7-0,6-0,,,,,25-2,,20-2,,,9-0,,,,,20-0,,15-1,16-0,,,,,,15-3,27-1,,,,,41-7,21-2,,3-0,,,,,14-2,,,,
1998-11,816-66,,,,,29-5,31-5,,18-2,16-0,15-2,24-0,23-3,31-3,20-1,,23-2,13-1,9-1,8-1,,,,,,2-0-Oitekaze-M2 Daishoyama,,19-0,11-1,,7-0,30-4,2-0,,16-0,,24-1,13-1,13-2,,29-1,19-3,23-3,,21-3,5-0,9-0,10-1,,,,,9-0,19-0,10-0,3-0,20-2,4-0,4-0,,,6-0,7-0,6-0,,,,,23-2,,19-2,,,9-0,,,,,19-0,,13-1,14-0,,,,,,15-3,26-1,,,,,39-6,21-2,,3-0,,,,,14-1,,,,
1999-01,809-66,,,,,28-4,32-5,,18-1,15-0,15-2,24-0,23-3,31-3,19-1,,23-2,13-1,7-1,8-2,,,,,,2-1,,19-0,12-1,,8-0,26-4,4-0,,16-0,,22-1,13-1,14-2,,29-1,18-4,23-3,,21-2,6-0,9-0,11-1,,,,,9-0,19-0,9-0,3-0,20-2,4-0,4-0,,,5-0,7-0,6-0,,,,,22-2,,19-2,,,10-0,,,,,19-0,,12-1,14-0,,,,,,15-3,26-1,,,,,39-6,21-2,,3-0,,,,,14-1,,,,
1999-03,872-66,,,,,28-5,30-5,,21-1,15-1,16-2,26-0,25-3,30-3,19-1,,31-2,23-1,7-1,9-2,,,,,,6-0,,20-0,14-1,,10-0,30-4,4-0,,18-0,,22-1,14-1,15-2,,28-1,16-3-K Asahiyutaka,25-3,,22-3,6-0,9-0,14-1,,,,,10-0,19-0,8-0,5-0,20-2,4-0,6-0,,,4-0,5-0,6-0,,,,,28-2,,19-2,,,10-0,,,,,18-0,,14-1,14-0,,,,,,15-2,30-1,,,,,38-6,25-2,,6-0,,2-0-Takekuma-S Kurohimeyama,,,13-1,,,,
1999-05,871-66,,,,,29-6,29-5,,20-1,14-0,16-2,26-0,25-3,30-4,19-1,,33-2,23-1,7-1,9-2,,,,,,5-0,,20-0,15-1,,10-0,29-4,4-0,,18-0,,22-2,14-0,15-2,,28-1,15-3,26-3,,22-2,6-0,9-0,14-1,,,,,11-0,19-0,8-0,5-0,20-2,3-0,6-0,,,4-0,5-0,5-0,,,,,28-2,,19-3,,,11-0,,,,,18-0,,14-1,14-0,,,,,,15-2,30-1,,,,,37-5,25-2,,7-0,,2-0,,,13-1,,,,
1999-07,841-66,,,,,27-6,30-5,,19-1,14-0,16-2,25-0,25-3,28-3,18-2,,29-2,21-1,7-1,9-2,,,,,,6-1,,20-0,14-2,,10-0,28-4,4-0,3-0-Shibatayama-Y Onokuni,18-0,,22-2,14-0,15-2,,27-1,15-2,24-2,,21-3,5-0,8-0,14-1,,,,,11-0,16-0,6-0,5-0,19-2,3-0,6-0,,,4-0,5-0,5-0,,,,,27-2,,19-2,,,10-0,,,,,18-0,,12-1,14-0,,,,,,15-2,30-1,,,,,35-5,24-2,,7-0,,2-0,,,12-1,,,,
1999-09,833-66,,,,,27-6,30-5,,19-1,14-0,16-2,23-0,25-3,27-2,18-3,,28-2,21-1,7-1,10-2,,,,,,6-1,,19-0,14-2,,10-0,27-4,4-0,3-0,18-0,,23-2,13-0,14-2,,27-1,14-2,22-2,,21-3,5-0,9-0,13-1,,,,,11-0,16-0,8-0,5-0,19-2,3-0,6-0,,,5-0,5-0,5-0,,,,,28-2,,19-2,,,10-0,,,,,18-0,,12-1,14-0,,,,,,15-2,30-1,,,,,34-5,24-2,,7-0,,2-0,,,10-1,,,,
1999-11,810-66,,,,,27-6,30-5,,19-1,14-0,16-2,22-0,25-3,27-2,18-3,,27-2,21-1,6-1,9-1,,,,,,6-1,,18-0,13-2,,7-0,26-4,3-0,3-0,18-0,,23-2,12-0,14-2,,27-1,14-2,21-2,,19-3,4-0,9-0,12-1,,,,,11-0,16-0,8-0,5-0,18-2,3-0,5-0,,,5-0,5-0,5-0,,,,,27-2,,19-2,,,9-0,,,,,18-0,,12-1,14-0,,,,,,14-2,30-1,,,,,33-5,24-2,,7-0,,2-0,,,10-2,,,,
2000-01,795-66,,,,,27-4,30-5,,19-1,14-1,15-2,21-1,25-3,26-2,18-2,,28-2,21-1,6-1,8-1,,,,,,6-1,,18-0,13-2,,7-0,25-4,3-0,3-0,17-0,,22-2,11-0,16-2,,27-1,13-2,20-2,,19-3,4-0,9-0,11-2,,,,,11-0,15-0,8-0,5-0,17-2,3-0,5-0,,,5-0,5-0,4-0,,,,,27-2,,17-2,,,8-0,,,,,17-0,,12-1,14-0,,,,,,13-2,30-1,,,,,32-5,24-2,,8-0,,2-0,,,11-2,,,,
2000-03,824-66,,,,,27-4,32-5,,19-1,15-1,15-2,19-1,23-3,26-2,17-2,,27-2,22-1,9-1,12-1,,,,,,6-1,,18-0,14-2,,7-0,24-4,5-0,4-0,15-0,,26-2,11-0,17-2,,28-1,15-2,20-2,,19-3,6-0,10-0,12-2,,,,,12-0,15-0,10-0,3-0,18-2,4-0,4-0,,,8-0,8-0,,,,,,30-2,,17-2,,,8-0,,,,,18-0,,13-1,15-0,,,,,,14-2,30-1,,,,2-0-Tagonoura-M1 Kushimaumi,29-5,25-2,,8-0,,2-0,,,11-2,,,,
2000-05,816-66,,,,,26-2,32-6,,19-1,16-2,15-2,19-1,22-3,26-3,17-4,,28-2,23-1,8-1,12-0,,,,,,6-1,,18-0,14-2,,6-0,24-4,5-0,5-0,15-0,,27-2,11-0,14-2,,26-1,15-2,20-2,,19-1,6-0,10-0,12-2,,,,,12-0,14-0,9-0,3-0,18-2,4-0,4-0,,,8-0,8-0,,,,,,31-1,,16-2,,,7-0,,,,,17-0,,13-1,15-0,,,,,,14-2,30-1,,,,2-0,28-4,26-3,,8-0,,2-0,,,11-3,,,,
2000-07,783-66,,,,,24-2,31-5,,18-1,16-1,15-2,17-1,20-3,26-3,17-4,,25-2,21-1,7-1,12-0,,,,,,6-2,,19-0,14-2,,5-0,24-5,6-0,3-0,14-0,,26-2,11-0,14-2,,24-1,13-2,19-2,,17-1,5-0,11-0,11-2,,,,,11-0,14-0,9-0,2-0,17-1,4-0,4-0,,,8-0,8-0,,,,,,29-2,,15-2,,,7-0,,,,,17-0,,13-1,16-1,,,,,,14-2,29-1,,,,2-0,28-4,25-2,,7-0,,2-0,,,11-3,,,,
2000-09,767-66,,,,,22-2,31-6,,18-1,16-2,15-2,17-1,20-2,27-3,17-4,,19-2,21-0,7-1,12-0,,,,,,6-2,,19-0,14-2,,5-0,24-4,6-0,2-0,13-0,,26-2,11-0,14-2,,23-2,13-1,19-2,,17-1,5-0,11-0,11-2,,,,,11-0,14-0,9-0,2-0,17-1,4-0,4-0,,,8-0,8-0,,,,,,27-2,,15-2,,,7-0,,,,,17-0,,13-1,15-1,,,,,,14-2,28-2,,,,2-0,28-4,23-3,,7-0,,2-0,,,11-2,,,,
2000-11,740-66,,,,,20-2,31-6,,18-1,16-3,14-2,17-1,19-2,27-3,17-4,,18-2,23-3,6-1,12-1,,,,,,6-2,,18-0,13-2,,6-0,23-4,6-0,3-0,13-0,,26-2,11-0,14-2,,23-2,12-1,19-2,,16-0,5-0,11-0,11-2,,,,,12-0,13-0,8-0,2-0,16-1,4-0,4-0,,,8-0,8-0,,,,,,26-0,,15-3,,,7-0,,,,,17-0,,12-1,15-1,,,,,,14-2,26-2,,,,2-0,28-4,21-2,,6-0,,2-0,,,,,,,
2001-01,739-66,,,,,19-2,31-5,,18-1,17-3,14-2,19-1,18-2,27-3,17-4,,18-2,23-3,6-1,12-1,,,,,,7-2,,18-1,12-2,,6-0,21-4,6-0,2-0,13-0,,27-2,11-0,14-2,,23-2,12-1,18-2,,16-1,5-0,11-0,11-2,,,,,12-0,13-1,8-0,2-0,16-1,4-0,4-0,,,7-0,9-0,,,,,,27-0,,15-2,,,7-0,,,,,17-0,,12-1,15-1,,,,,,14-2,26-2,,,,3-0,27-4,21-1,,6-0,,2-0,,,,,,,
2001-03,780-66,,,,,21-2,35-5,,20-1,17-4,14-2,21-1,19-2,29-4,18-4,,17-2,24-2,8-1,12-1,,,,,,8-2,,19-0,13-2,,7-0,24-4,6-0,3-0,15-0,,28-3,12-0,18-2,,23-2,14-1,18-2,,17-1,5-0,10-0,12-0,,,,,13-0,14-1,10-0,1-0,15-1,3-0,4-0,,,7-0,9-0,,,,,,29-0,,16-3,,,7-0,,,,,19-0,,12-1,13-0,,,,,,16-2,26-2,,,,4-0,27-4,18-2,,8-0,,2-0,,,,,,,
2001-05,774-66,,,,,22-2,30-5,,18-1,17-4,14-2,21-1,18-2,29-3,19-4,,17-2,23-1,9-1,11-1,,,,,,10-2,,19-0,14-2,,7-0,23-4,6-0,3-0,15-0,,29-3,12-0,17-2,,23-3,14-1,17-3,,17-1,5-0,9-0,12-0,,,,,13-0,14-0,11-0,2-0,14-1,3-0,4-0,,,7-0,9-0,,,,,,29-0,,16-3,,,7-0,,,,,20-1,,12-1,13-0,,,,,,15-2,26-3,,,,4-0,27-4,18-1,,8-0,,2-0,,,,,,,
2001-07,750-66,,,,,21-3,29-6,,18-1,17-4,14-2,21-1,18-2,27-3,18-3,,16-2,22-1,9-1,11-1,,,,,,11-2,,18-0,13-2,,6-0,23-4,5-0,4-0,14-0,,27-3,11-0,16-2,,23-2,13-1,17-3,,14-1,4-0,9-0,12-0,,,,,13-0,14-0,11-0,2-0,14-1,3-0,3-0,,,7-0,8-0,,,,,,27-0,,16-3,,,7-0,,,,,20-0,,12-1,13-0,,,,,,15-2,26-3,,,,4-0,26-4,18-2,,8-0,,2-0,,,,,,,
2001-09,741-66,,,,,20-2,30-6,,18-1,16-4,14-2,21-1,17-2,27-4,18-3,,16-2,21-1,9-1,11-1,,,,,,9-2,,17-0,13-2,,5-0,23-4,6-0,4-0,13-0,,27-3,11-0,15-2,,22-2,14-1,16-3,,14-1,4-0,9-0,12-0,,,,,12-0,14-0,11-0,2-0,14-1,3-0,4-0,,,9-0,7-0,,,,,,27-0,,16-3,,,7-0,,,,,19-0,,12-1,13-0,,,,,,15-2,26-3,,,,4-0,26-4,18-2,,8-0,,2-0,,,,,,,
2001-11,727-66,,,,,20-2,30-6,,16-1,15-4,14-2,19-1,17-2,27-4,18-3,,15-2,21-1,8-1,11-1,,,,,,9-2,,17-0,13-2,,5-0,21-3,7-0,4-0,12-0,,27-3,11-0,15-2,,24-2,13-0,16-3,,14-1,4-0,9-0,12-1,,,,,12-0,15-0,10-0,2-0,15-1,3-0,4-0,,,9-0,7-0,,,,,,26-2,,16-3,,,7-0,,,,,17-0,,12-1,11-0,,,,,,15-2,25-3,,,,4-0,25-4,18-1,,8-0,,2-0,,,,,,,
2002-01,727-66,,,,,20-2,30-6,,16-2,14-2,14-1,19-1,17-2,27-4,18-3,,15-2,21-1,8-1,12-1,,,,,,9-2,,17-0,13-2,,4-0,22-4,6-0,4-0,12-0,,27-3,11-0,14-2,,24-2,13-0,17-3,,15-1,4-0,9-0,11-2,,,,,12-0,15-0,10-0,2-0,15-1,3-0,4-0,,,9-0,7-0,,,,,,26-2,,15-2,,,7-0,,,,,17-1,,12-1,11-0,,,,,,15-2,25-3,,,,6-0,25-4,18-1,,8-0,,2-0,,,,,,,
2002-03,753-66,,,,,20-2,32-6,,18-3,14-2,14-1,22-1,19-2,25-4,18-3,,17-2,21-1,10-1,12-1,,,,,,10-2,,17-0,14-2,,4-0,25-4,8-1,4-0,12-0,,26-3,11-0,33-4-Takasago,,25-2,12-0,17-3,,19-1,4-0,11-0,10-2,,,,,13-0,13-0,10-0,2-0,16-1,3-0,4-0,,,11-0,7-0,,,,,,25-1,,17-1,,,7-0,,,,,16-1,,14-1,12-0,,,,,,15-2,23-2,,,,7-0,24-4,,,8-0,,2-0,,,,,,,
2002-05,761-66,,,,,20-2,31-6,,18-3,14-2,14-1,22-1,18-2,26-4,19-3,,15-2,21-1,10-1,12-1,,,,,,12-3,,18-0,14-1,,5-0,26-4,8-1,4-0,12-0,,27-3,11-0,35-4,,25-1,12-0,18-3,,19-1,4-0,11-0,10-2,,,,,13-0,13-1,11-0,3-0,15-1,3-0,4-0,,,11-0,7-0,,,,,,25-1,,17-1,,,7-0,,,,,15-1,,15-1,13-0,,,,,,14-2,22-2,,,,7-0,24-4,,,9-0,,2-0,,,,,,,
2002-07,735-66,,1-0-Arashio-K Oyutaka,,,20-1,31-6,,19-3,14-2,15-1,22-1,17-2,24-4,19-3,,14-2,18-2,10-1,11-1,,,,,,12-3,,18-0,13-1,,5-0,24-4,8-1,4-0,12-0,,27-3,11-0,33-5,,25-1,11-0,17-3,,18-1,4-0,11-0,10-2,,,,,13-0,12-1,11-0,3-0,15-1,,3-0,,,10-1,7-0,,,,,,24-1,,17-1,,,6-0,,,,,14-0,,15-1,13-0,,,,,,12-2,21-1,,,,7-0,24-4,,,9-0,,1-0,,,,,,,
